context,response
Eddie what're you still doin' here?,"Ah, just some basic dehydrating of a few fruits and vegetables. MAN ALIVE this thing's fantastic!"
We left Joey alone with the food,Which smells delicious
I'm considering a career change to professional snail trainer.,"Oh, great, because the world is just missing that. Could I BE any more thrilled for you?"
You got the lead in a movie? That's amazing! What's the movie about?,"It's called Shutter Speed, it's really cool! Yeah, umm, I meet this girl in the subway and we fall in love in like a day, right? And then, she disappears... But I find out where she lives and when I get there this like old lady answers the door and I say, 'Where's Betsy?' Right? And she says, 'Betsy's been dead for 10 years.'"
Then all your stuff would be here.,"Well, what if all my stuff was here?"
"You're not gonna go anywhere, you said you were gonna eat here, and you're gonna eat here!","Oh, but-but it is, uh, it's just like the first Thanksgiving, when the Indians and the Pilgrims uh, sat down to dinner."
"Okay, we-we swallow our feelings. Even if it means we're unhappy forever.",Sound good?
Is everything okay?,"Oh yes! Just had me a little nubbin-ectomy. Yep! Two nipples, no waiting."
"Y'know what else I can't believe? I had to kiss Phoebe and Rachel every time I left a room, I mean it's too bad they didn't see us having sex.",Do you know anything about women?
Ross is on a date with my sister and they shut the drapes two and a-half-hours ago.,I'm good.
I just got engaged to my girlfriend.,"Oh, great, so now you're officially stuck with someone who's seen you naked and still manages to smile."
"Oh, that's okay, it gave me time to finish glazing my nipples.",Wow! You really go all out when you're expecting company.
Because you sent away the dog!,This is ridiculous.
"Oh, oh that's right, I forgot about your ability to fuse metal.","Hey, it's Funny's cousin, Not Funny."
"Well, maybe after we get reacquainted uh, you can do me.",Yeah-No!!
"Monica Geller: All right people, we're in trouble here. We've only got 12 hours and 36 minutes left. Move, move, move!","Monica, I feel like you should have German subtitles."
"So does he have a hump? A hump and a hairpiece? is not present in the dialogue, however 'Oh, Richard. That's all I ever hear, Richard, Richard, Richard!' can be used","Oh, Richard. That's all I ever hear, Richard, Richard, Richard!"
Why are you wearing Monica's jacket?,Because it's flattering!
"Monica: I don't know, how about the idiot who thought he could drive from Albany to Canada on a half a tank of gas!",Do not speak ill of the dead.
I am very good at Cups.,Okay! Now I assume the Saucer card came up when you played last.
We have a crying child!,Roll the damn cameras!
